word,logp
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5727459192276, 1.6076544523239136, 1.9946467876434326]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.3864490985870361, 1.539746642112732, 1.918466567993164]"
"['<sos>', 'product', 'sound', '<eos>']","[0.0, 1.5228692293167114, 1.6428020000457764, 2.012324810028076]"
"['<sos>', 'price', 'product', '<eos>']","[0.0, 1.4204018115997314, 1.4843645095825195, 2.0037710666656494]"
"['<sos>', 'price', 'product', '<eos>']","[0.0, 1.2588396072387695, 1.4698823690414429, 1.9112757444381714]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.6818324327468872, 1.672086477279663, 1.9177924394607544]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5226033926010132, 1.622609257698059, 1.852325439453125]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5444588661193848, 1.5910793542861938, 1.9320358037948608]"
"['<sos>', 'product', 'product', '<eos>']","[0.0, 1.4143491983413696, 1.5718852281570435, 2.049417495727539]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5306580066680908, 1.5970276594161987, 1.9709738492965698]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.397092342376709, 1.5514042377471924, 1.9341760873794556]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.4967390298843384, 1.5728760957717896, 1.9442598819732666]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.4558535814285278, 1.5666265487670898, 1.9463372230529785]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5243929624557495, 1.5943089723587036, 1.8826509714126587]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.3140208721160889, 1.5202375650405884, 1.948787808418274]"
"['<sos>', 'price', 'product', '<eos>']","[0.0, 1.5506532192230225, 1.5395256280899048, 2.042147397994995]"
"['<sos>', 'price', 'price', 'sound', '<eos>']","[0.0, 1.4999682903289795, 1.6019670963287354, 1.5739877223968506, 1.9854071140289307]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.4726135730743408, 1.5653307437896729, 1.96017324924469]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.5093411207199097, 1.5814143419265747, 1.9726207256317139]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5256460905075073, 1.5880557298660278, 1.893026351928711]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.6462781429290771, 1.652823567390442, 1.8859227895736694]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.553332805633545, 1.6083077192306519, 1.9246450662612915]"
"['<sos>', 'price', 'quality', '<eos>']","[0.0, 1.2657294273376465, 1.482229471206665, 1.9952365159988403]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.4411358833312988, 1.575657606124878, 1.875109076499939]"
"['<sos>', 'price', 'quality', '<eos>']","[0.0, 1.5476068258285522, 1.5866479873657227, 2.0205886363983154]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.2704646587371826, 1.504830002784729, 1.894921898841858]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.4318807125091553, 1.5690022706985474, 1.9951847791671753]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.3811312913894653, 1.594380259513855, 1.9850339889526367]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.5112473964691162, 1.6144886016845703, 2.057955026626587]"
"['<sos>', 'quality', 'quality', '<eos>']","[0.0, 1.4379515647888184, 1.5950541496276855, 2.0769028663635254]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5998448133468628, 1.6279035806655884, 1.919236660003662]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.596042513847351, 1.582186222076416, 2.000898838043213]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.6228352785110474, 1.6396573781967163, 1.8928017616271973]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.5052082538604736, 1.6333223581314087, 2.0294790267944336]"
"['<sos>', 'price', 'quality', '<eos>']","[0.0, 1.4877386093139648, 1.577075481414795, 1.972244381904602]"
"['<sos>', 'quality', 'quality', '<eos>']","[0.0, 1.2973666191101074, 1.5494558811187744, 2.0180790424346924]"
"['<sos>', 'price', 'product', '<eos>']","[0.0, 1.5513888597488403, 1.5912867784500122, 2.0334081649780273]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.539323329925537, 1.6064884662628174, 1.9061537981033325]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.3644462823867798, 1.5283621549606323, 1.9695637226104736]"
"['<sos>', 'quality', 'quality', '<eos>']","[0.0, 1.5243552923202515, 1.637304425239563, 2.0404021739959717]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.4877679347991943, 1.648910641670227, 1.8886265754699707]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.4122376441955566, 1.5696550607681274, 1.9269882440567017]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.5132184028625488, 1.5905818939208984, 1.962620735168457]"
"['<sos>', 'camera', 'camera', '<eos>']","[0.0, 1.3211398124694824, 1.5555024147033691, 1.8506171703338623]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5176918506622314, 1.6129854917526245, 1.8730567693710327]"
"['<sos>', 'price', 'product', '<eos>']","[0.0, 1.3521435260772705, 1.5352643728256226, 1.9141095876693726]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.531980276107788, 1.5597057342529297, 1.9796161651611328]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.3361730575561523, 1.553891658782959, 2.037850856781006]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.6174081563949585, 1.6563172340393066, 1.867078423500061]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.6187536716461182, 1.6622183322906494, 1.912103533744812]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.4354417324066162, 1.6007143259048462, 2.016054391860962]"
"['<sos>', 'quality', 'quality', '<eos>']","[0.0, 1.2986207008361816, 1.5377253293991089, 1.9917981624603271]"
"['<sos>', 'price', 'product', '<eos>']","[0.0, 1.4622970819473267, 1.513257384300232, 2.0355911254882812]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.5474845170974731, 1.6762936115264893, 1.9663525819778442]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.4524022340774536, 1.610184669494629, 2.0258584022521973]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.4893296957015991, 1.597185730934143, 1.970727562904358]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5960047245025635, 1.598866581916809, 1.9813075065612793]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.3368985652923584, 1.5208975076675415, 1.895678997039795]"
"['<sos>', 'price', 'product', '<eos>']","[0.0, 1.5530472993850708, 1.5738524198532104, 2.0108134746551514]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.3420114517211914, 1.5024884939193726, 1.9180386066436768]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.4247337579727173, 1.5324848890304565, 1.9533401727676392]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.4607324600219727, 1.5733846426010132, 1.895618200302124]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.4943647384643555, 1.565083622932434, 1.898175597190857]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.4420448541641235, 1.555436372756958, 1.8262410163879395]"
"['<sos>', 'price', 'quality', '<eos>']","[0.0, 1.3639898300170898, 1.5403468608856201, 2.0194926261901855]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.440264344215393, 1.6300079822540283, 1.9636919498443604]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.4582719802856445, 1.6144607067108154, 1.9626002311706543]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.3970909118652344, 1.578969955444336, 2.0018584728240967]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.3596612215042114, 1.5669023990631104, 1.9893128871917725]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.3885867595672607, 1.5482511520385742, 1.9029877185821533]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5784817934036255, 1.58482027053833, 2.0023348331451416]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.5687947273254395, 1.7002894878387451, 2.0017008781433105]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.573541283607483, 1.633719801902771, 1.958640694618225]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.475743293762207, 1.6342825889587402, 1.9058870077133179]"
"['<sos>', 'product', 'sound', '<eos>']","[0.0, 0.959575355052948, 1.4732846021652222, 1.9478745460510254]"
"['<sos>', 'price', 'product', '<eos>']","[0.0, 1.4550554752349854, 1.5297385454177856, 1.9847670793533325]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.458349347114563, 1.561734914779663, 1.921720266342163]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.3420239686965942, 1.5942960977554321, 1.9698951244354248]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.4549695253372192, 1.6294490098953247, 1.9979491233825684]"
"['<sos>', 'quality', 'quality', '<eos>']","[0.0, 1.435943603515625, 1.6065398454666138, 1.9984904527664185]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.4139858484268188, 1.6097809076309204, 1.990652322769165]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.456730604171753, 1.6440708637237549, 1.896535038948059]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.4812480211257935, 1.622416615486145, 2.0185728073120117]"
"['<sos>', 'fit', 'sound', '<eos>']","[0.0, 1.3737770318984985, 1.510974407196045, 1.8909246921539307]"
"['<sos>', 'quality', 'quality', '<eos>']","[0.0, 1.2849880456924438, 1.5395177602767944, 2.016955852508545]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5611213445663452, 1.623948097229004, 1.8908040523529053]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.6947506666183472, 1.7155755758285522, 1.883690357208252]"
"['<sos>', 'price', 'quality', '<eos>']","[0.0, 1.4767097234725952, 1.5652110576629639, 2.0211212635040283]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.1950180530548096, 1.5081164836883545, 1.9095544815063477]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.5197054147720337, 1.6214131116867065, 2.048231601715088]"
"['<sos>', 'product', 'product', '<eos>']","[0.0, 1.418434500694275, 1.5820913314819336, 2.02310848236084]"
"['<sos>', 'camera', 'camera', '<eos>']","[0.0, 1.4430968761444092, 1.589940071105957, 1.906099796295166]"
"['<sos>', 'product', 'product', '<eos>']","[0.0, 1.3659323453903198, 1.5594758987426758, 1.9670100212097168]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.4161324501037598, 1.6010627746582031, 1.9322859048843384]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.6558433771133423, 1.6796213388442993, 1.875829815864563]"
"['<sos>', 'product', 'product', '<eos>']","[0.0, 1.4536805152893066, 1.5917985439300537, 2.049981117248535]"
"['<sos>', 'product', 'product', '<eos>']","[0.0, 1.3292045593261719, 1.5486986637115479, 1.9605356454849243]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.4979915618896484, 1.6456235647201538, 1.928958535194397]"
"['<sos>', 'price', 'quality', '<eos>']","[0.0, 1.52378511428833, 1.553645133972168, 1.9206748008728027]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.4462556838989258, 1.527228832244873, 1.930701732635498]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.4915798902511597, 1.5903412103652954, 1.925310492515564]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5426353216171265, 1.5888495445251465, 1.9989523887634277]"
"['<sos>', 'quality', 'quality', '<eos>']","[0.0, 1.5327876806259155, 1.665068507194519, 1.9779983758926392]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.3010867834091187, 1.571912169456482, 1.9288164377212524]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5475343465805054, 1.5906808376312256, 1.865574836730957]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.289105772972107, 1.5601444244384766, 1.992508053779602]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.432365894317627, 1.5750242471694946, 1.8577494621276855]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.4318416118621826, 1.5658419132232666, 1.9379709959030151]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.4348442554473877, 1.5350139141082764, 1.981026530265808]"
"['<sos>', 'price', 'quality', '<eos>']","[0.0, 1.4619947671890259, 1.5255509614944458, 1.9402052164077759]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.429295301437378, 1.556738257408142, 1.8924492597579956]"
"['<sos>', 'price', 'product', '<eos>']","[0.0, 1.3757234811782837, 1.4899299144744873, 2.012023687362671]"
"['<sos>', 'price', 'product', '<eos>']","[0.0, 1.4300882816314697, 1.507365107536316, 1.9487242698669434]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.3839832544326782, 1.5800025463104248, 1.9919548034667969]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.4939980506896973, 1.5918939113616943, 1.944630742073059]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.613078236579895, 1.634246587753296, 1.8946614265441895]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5666669607162476, 1.6027277708053589, 1.943691611289978]"
"['<sos>', 'price', 'quality', '<eos>']","[0.0, 1.5164916515350342, 1.5936062335968018, 2.037402868270874]"
"['<sos>', 'price', 'product', '<eos>']","[0.0, 1.5051888227462769, 1.5788711309432983, 2.0224123001098633]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.451631784439087, 1.5706467628479004, 1.9775289297103882]"
"['<sos>', 'price', 'quality', '<eos>']","[0.0, 1.4511443376541138, 1.5149705410003662, 1.9979262351989746]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.4594725370407104, 1.6003786325454712, 1.9563590288162231]"
"['<sos>', 'quality', 'quality', '<eos>']","[0.0, 1.4102157354354858, 1.5891655683517456, 2.0086944103240967]"
"['<sos>', 'product', 'sound', '<eos>']","[0.0, 1.4844114780426025, 1.602074384689331, 2.061281681060791]"
"['<sos>', 'price', 'price', 'price', '<eos>']","[0.0, 1.8260730504989624, 1.8292709589004517, 1.7624276876449585, 1.9915589094161987]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.5690399408340454, 1.6813397407531738, 2.000339984893799]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.4835995435714722, 1.561280608177185, 1.933455228805542]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.6066184043884277, 1.632732629776001, 1.9191657304763794]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5862129926681519, 1.6059573888778687, 1.9921492338180542]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.6251965761184692, 1.6289011240005493, 1.8963547945022583]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.610177755355835, 1.6356316804885864, 1.941729187965393]"
"['<sos>', 'product', 'product', '<eos>']","[0.0, 1.3220640420913696, 1.5555380582809448, 1.9411331415176392]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.3792096376419067, 1.5829155445098877, 1.991909384727478]"
"['<sos>', 'camera', 'camera', '<eos>']","[0.0, 1.3425660133361816, 1.5793224573135376, 1.7371104955673218]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.316618800163269, 1.4982887506484985, 1.9589025974273682]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5817204713821411, 1.6392285823822021, 1.877846598625183]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.3533042669296265, 1.5711308717727661, 1.9547595977783203]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.36866295337677, 1.575212836265564, 1.9266401529312134]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.5226554870605469, 1.653222918510437, 2.0077428817749023]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.4260185956954956, 1.596961259841919, 2.0237464904785156]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5300718545913696, 1.6203868389129639, 1.938504695892334]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.6054208278656006, 1.6211793422698975, 1.9278278350830078]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.3237560987472534, 1.52131986618042, 1.8985326290130615]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.47979736328125, 1.5732439756393433, 1.972069263458252]"
"['<sos>', 'product', 'product', '<eos>']","[0.0, 1.3921129703521729, 1.5623507499694824, 2.0161240100860596]"
"['<sos>', 'price', 'product', '<eos>']","[0.0, 1.3809727430343628, 1.4990383386611938, 1.85515558719635]"
"['<sos>', 'camera', 'camera', '<eos>']","[0.0, 1.487392783164978, 1.6419323682785034, 1.7820838689804077]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5617988109588623, 1.6034951210021973, 1.9677151441574097]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.2973442077636719, 1.574511170387268, 1.9578183889389038]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5923718214035034, 1.6574803590774536, 1.9023834466934204]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5589667558670044, 1.629732608795166, 1.883468508720398]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.5179725885391235, 1.5885971784591675, 1.9923462867736816]"
"['<sos>', 'product', 'product', '<eos>']","[0.0, 1.240262508392334, 1.53270423412323, 1.96065354347229]"
"['<sos>', 'price', 'camera', '<eos>']","[0.0, 1.43388831615448, 1.5736215114593506, 1.8721089363098145]"
"['<sos>', 'price', 'product', '<eos>']","[0.0, 1.5529520511627197, 1.6031029224395752, 1.9907360076904297]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.6436504125595093, 1.631113886833191, 1.9969547986984253]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.3380351066589355, 1.5657092332839966, 1.9132882356643677]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.3867523670196533, 1.5562149286270142, 1.8670283555984497]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.4153441190719604, 1.6262905597686768, 1.9623156785964966]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.569692850112915, 1.5732290744781494, 1.9727869033813477]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.635557770729065, 1.634560227394104, 1.934607744216919]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.4589757919311523, 1.6458231210708618, 1.9302139282226562]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5604852437973022, 1.612671971321106, 1.9355064630508423]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 0.9418843984603882, 1.4498564004898071, 1.91266667842865]"
"['<sos>', 'price', 'product', '<eos>']","[0.0, 1.250030279159546, 1.4303456544876099, 1.878875494003296]"
"['<sos>', 'quality', 'quality', '<eos>']","[0.0, 1.3533859252929688, 1.578333854675293, 2.0116264820098877]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.3983842134475708, 1.5832140445709229, 1.995162844657898]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5671298503875732, 1.6277951002120972, 1.9341392517089844]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5338984727859497, 1.5929220914840698, 1.9183881282806396]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.4686907529830933, 1.534446120262146, 1.9492547512054443]"
"['<sos>', 'price', 'product', '<eos>']","[0.0, 1.5072194337844849, 1.5502389669418335, 2.009105682373047]"
"['<sos>', 'product', 'product', '<eos>']","[0.0, 1.4697809219360352, 1.6027344465255737, 2.0242161750793457]"
"['<sos>', 'price', 'quality', '<eos>']","[0.0, 1.422387719154358, 1.5360314846038818, 1.978314995765686]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.418217420578003, 1.5564099550247192, 1.865016222000122]"
"['<sos>', 'camera', 'quality', '<eos>']","[0.0, 1.5241819620132446, 1.556476354598999, 1.9699276685714722]"
"['<sos>', 'camera', 'camera', '<eos>']","[0.0, 1.4159936904907227, 1.5774019956588745, 1.8371217250823975]"
"['<sos>', 'price', 'quality', '<eos>']","[0.0, 1.418408751487732, 1.544155240058899, 2.02168345451355]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.3785713911056519, 1.5671374797821045, 1.803426742553711]"
"['<sos>', 'price', 'product', '<eos>']","[0.0, 1.5655878782272339, 1.5580765008926392, 2.005596399307251]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.347612977027893, 1.5115017890930176, 1.9021360874176025]"
"['<sos>', 'quality', 'quality', '<eos>']","[0.0, 1.3735660314559937, 1.5676053762435913, 2.0250062942504883]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.3887617588043213, 1.51689612865448, 1.9733070135116577]"
"['<sos>', 'price', 'product', '<eos>']","[0.0, 1.4254504442214966, 1.5407159328460693, 1.9675359725952148]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5284303426742554, 1.5889806747436523, 1.8941069841384888]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.4902175664901733, 1.6223939657211304, 2.0104010105133057]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.4083713293075562, 1.609932780265808, 1.9627081155776978]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.191367745399475, 1.4504719972610474, 1.8858996629714966]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.4108250141143799, 1.598442554473877, 2.0074000358581543]"
"['<sos>', 'quality', 'quality', '<eos>']","[0.0, 1.3740477561950684, 1.5899704694747925, 1.9830782413482666]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.3473700284957886, 1.5676401853561401, 1.9474701881408691]"
"['<sos>', 'price', 'product', '<eos>']","[0.0, 1.5168403387069702, 1.5787489414215088, 1.990491509437561]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.4061007499694824, 1.5441374778747559, 1.8980810642242432]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.369856595993042, 1.594079852104187, 1.9261841773986816]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.3426587581634521, 1.57753324508667, 1.8863056898117065]"
"['<sos>', 'camera', 'camera', '<eos>']","[0.0, 1.403025507926941, 1.577509880065918, 1.845591425895691]"
"['<sos>', 'price', 'product', '<eos>']","[0.0, 1.5105626583099365, 1.5476945638656616, 1.9724990129470825]"
"['<sos>', 'price', 'quality', '<eos>']","[0.0, 1.4227083921432495, 1.5302972793579102, 1.9686506986618042]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.4759316444396973, 1.6143722534179688, 2.0518760681152344]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5255695581436157, 1.594642162322998, 1.850213646888733]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.246300220489502, 1.4588797092437744, 1.9342048168182373]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.368673324584961, 1.569658637046814, 1.9183406829833984]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.4456241130828857, 1.5628360509872437, 1.9952505826950073]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.42847740650177, 1.5094846487045288, 1.9213000535964966]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5459198951721191, 1.5868147611618042, 1.945029854774475]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.3311976194381714, 1.5489468574523926, 1.9606518745422363]"
"['<sos>', 'price', 'product', '<eos>']","[0.0, 1.3132191896438599, 1.5070652961730957, 1.982865810394287]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5357915163040161, 1.5967183113098145, 1.940040946006775]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.3260353803634644, 1.4935462474822998, 1.9485416412353516]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.351266622543335, 1.5107296705245972, 1.9406530857086182]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.4486383199691772, 1.5856631994247437, 1.9376205205917358]"
"['<sos>', 'camera', 'camera', '<eos>']","[0.0, 1.5059846639633179, 1.6342215538024902, 1.8655030727386475]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.6391414403915405, 1.6579222679138184, 1.9695944786071777]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.357264518737793, 1.5069931745529175, 1.8951183557510376]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.6037042140960693, 1.6643279790878296, 1.8481016159057617]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.4284220933914185, 1.5693132877349854, 1.9021016359329224]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.4502389430999756, 1.5708956718444824, 1.8794833421707153]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.3409411907196045, 1.51423180103302, 1.8679978847503662]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.3072153329849243, 1.5267143249511719, 1.8436282873153687]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.5060325860977173, 1.5819076299667358, 1.9098029136657715]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.203803300857544, 1.4912060499191284, 1.8732563257217407]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5315231084823608, 1.600270390510559, 1.9159036874771118]"
"['<sos>', 'price', 'product', '<eos>']","[0.0, 1.5216038227081299, 1.5528578758239746, 1.985772728919983]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5987993478775024, 1.6606554985046387, 1.8497040271759033]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.543660283088684, 1.6275163888931274, 1.840464472770691]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5594860315322876, 1.5786601305007935, 1.964518666267395]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.2465705871582031, 1.4978866577148438, 1.8697642087936401]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.3196791410446167, 1.51044762134552, 1.918660283088684]"
"['<sos>', 'quality', 'sound', '<eos>']","[0.0, 1.3035465478897095, 1.5593205690383911, 2.0165321826934814]"
"['<sos>', 'product', 'product', '<eos>']","[0.0, 1.2812526226043701, 1.5139070749282837, 2.025567054748535]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.4102977514266968, 1.5950456857681274, 1.9961638450622559]"
"['<sos>', 'price', 'sound', '<eos>']","[0.0, 1.3845237493515015, 1.5458377599716187, 1.9215296506881714]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.452048659324646, 1.6275784969329834, 1.954837679862976]"
"['<sos>', 'price', 'price', '<eos>']","[0.0, 1.5325032472610474, 1.5932446718215942, 1.9476735591888428]"
"['<sos>', 'sound', 'sound', '<eos>']","[0.0, 1.3655424118041992, 1.6017712354660034, 1.971755862236023]"
"['<sos>', 'price', 'quality', '<eos>']","[0.0, 1.567292332649231, 1.6009867191314697, 1.9924629926681519]"
"['<sos>', 'quality', 'quality', '<eos>']","[0.0, 1.3699733018875122, 1.59304678440094, 1.967374324798584]"
